id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10485,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19504637.0,19504637.0,False,,1,,,,2023-10-05T12:54:00.000Z,27713.390991794895,10217792278.72717,-9.3679,-0.13929897,0.4050937,4.68524264,7.44618534,-4.41683038,-8.34708496,540539631334.0294,49.7619,581981210827.69,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
1027,Ethereum,ETH,ethereum,7484,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120243063.86202928,120243063.86202928,True,,2,,,,2023-10-05T12:54:00.000Z,1633.9019278225492,4604715745.225118,-7.5182,-0.27553334,-0.85950696,0.74786395,-0.17518284,-10.56596888,-12.3932573,196465373851.45953,18.0838,196465373851.46,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
825,Tether USDt,USDT,tether,63171,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83366897433.5971,86425711834.2146,True,,3,,,,2023-10-05T12:54:00.000Z,1.0001427427015175,17234887667.506607,-34.382,0.00513207,0.01994392,0.08913698,0.08699784,0.14648936,0.00501989,83378797449.7539,7.6747,86438048473.8,,2023-10-05T12:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-05 19:56:10.751256
1839,BNB,BNB,bnb,1659,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153846100.5299596,153846100.5299596,False,,4,,,,2023-10-05T12:54:00.000Z,212.07472095848743,331741204.6109349,-0.7229,-0.28680105,-0.49309619,-0.6193628,-1.36731945,-12.96436967,-9.59506136,32626868840.442585,3.0036,32626868840.44,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
52,XRP,XRP,xrp,1108,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53312364216.0,99988397127.0,False,,5,,,,2023-10-05T12:54:00.000Z,0.52267078533759,930380466.7989048,-47.3291,-0.16456535,-2.21768127,4.42605629,3.99314053,-17.15724757,11.65047793,27864815272.980354,2.5648,52267078533.76,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
3408,USDC,USDC,usd-coin,14318,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25249754095.034977,25249754095.034977,False,,6,,,,2023-10-05T12:54:00.000Z,1.0000271103437295,2339357930.2819805,-8.1334,0.00092121,0.00900828,-0.00160071,0.0132399,0.01213783,-0.01311298,25250438624.547577,2.3245,25250438624.55,,2023-10-05T12:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-05 19:56:10.751256
5426,Solana,SOL,solana,534,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,413569729.4468819,559159695.6332543,True,,7,,,,2023-10-05T12:54:00.000Z,23.2686539104773,363429762.34910166,-37.4958,0.09851238,-1.35168778,21.43929578,18.44219072,0.90702548,11.76620388,9623210902.349228,0.8858,13010893438.38,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
2010,Cardano,ADA,cardano,942,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35140691821.255,36229014789.876,False,,8,,,,2023-10-05T12:54:00.000Z,0.2606041167315909,97461756.33980279,-39.8924,-0.46788773,1.39803183,5.86457077,1.49194621,-11.28116291,-8.06507155,9157808953.4152,0.8429,11727185252.92,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
74,Dogecoin,DOGE,dogecoin,803,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141286386383.70526,141286386383.70526,True,,9,,,,2023-10-05T12:54:00.000Z,0.06097900677013676,111051712.3646975,-30.2489,-0.16843831,-0.32425033,0.15840604,-4.69766366,-18.53012448,-6.78182458,8615503511.820122,0.7931,8615503511.82,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
1958,TRON,TRX,tron,847,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89027396614.99068,89027456522.21887,True,,10,71659659264.0,6363231197.616442,,2023-10-05T12:54:00.000Z,0.08879795498571633,180044695.53475603,-27.0152,-0.04768612,-0.17630619,4.0044661,14.81928389,15.37307654,13.00149297,7905450757.113456,0.7277,7905456076.75,,2023-10-05T12:54:00.000Z,,,,,,2023-10-05 19:56:10.751256
